temperature,pressure,vibration_level,power_consumption,machine_type,status,maintenance_status,timestamp,anomaly_alert,temperature_anomaly,pressure_anomaly,vibration_anomaly,predicted_temperature,predicted_pressure
69.59533770760672,86.31837437085731,0.6127935342657606,48.13012343331218,Machine_A,Underload,Good,2028-09-10 16:00:00,0,0,0,0,68.96641986544577,85.85123289492317
61.42969404518859,100.85607764826706,0.5330309361715414,34.9349474029658,Machine_B,Normal,Good,2028-12-07 03:00:00,0,0,0,0,60.45955294443226,99.4034212151053
73.11411507280903,104.19313432193579,0.44890194165284253,37.617712342833904,Machine_B,Overload,Requires_Maintenance,2027-08-23 13:00:00,0,0,0,0,76.95270812562927,103.01272431350205
61.130151919439356,108.31409182589178,0.40203629564203514,64.92137697548651,Machine_C,Normal,Critical,2024-08-14 05:00:00,0,0,0,0,63.1687314234317,106.13288241257776
69.40895777214527,100.0056309906732,0.532733945654549,33.5910779260302,Machine_A,Overload,Good,2025-10-10 09:00:00,0,0,0,0,69.53856597019532,97.40185296527305
66.96682716888695,82.11441462790305,0.4466441050331583,58.096293387407336,Machine_A,Overload,Good,2026-10-23 19:00:00,0,0,0,0,65.2557612639577,74.5473146520749
73.8576126543806,91.67809390104654,0.5330548865012049,61.851163504103006,Machine_C,Overload,Critical,2026-02-11 22:00:00,0,0,0,0,75.42322463261598,91.88533965901706
63.951526285794465,99.59400101470027,0.5957780383834276,47.55761148736833,Machine_A,Overload,Critical,2024-02-25 08:00:00,0,0,0,0,64.63823382553181,96.72079407855304
74.09143379380754,88.14804628350674,0.6030558274427155,44.893201911414074,Machine_B,Underload,Critical,2027-02-18 10:00:00,0,0,0,0,74.28080286632022,87.58196376432592
71.64712196918,100.20947088861627,0.48846467560445417,51.857571655048844,Machine_A,Overload,Requires_Maintenance,2029-03-18 01:00:00,0,0,0,0,70.24872630555338,108.97520620325702
